StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,Insurance,HighBloodPressure,Cancer,Asthma,HeartDisease,AnnualCheckUps,Smokes,MentalHealthIssues,Latitude,Longitude,CountyFIPS
AL,Birmingham,107000,1073003200,0107000-01073003200,931,26.8,57,6,14.4,11.1,78.2,29.6,22,33.50940185,-86.8859082,1073
AL,Birmingham,107000,1073003300,0107000-01073003300,947,21.4,55.2,6.8,12.9,9.7,80.1,22.6,16.7,33.51712611,-86.89138197,1073
AL,Birmingham,107000,1073010500,0107000-01073010500,114,23.9,60.5,7.1,13.6,11.1,80.7,26.5,18.6,33.43637868,-86.91289231,1073
AL,Birmingham,107000,1073010701,0107000-01073010701,74,19.8,24.9,2.7,11.2,2.4,66.2,18.1,16.1,33.47388616,-86.81464878,1073
AL,Birmingham,107000,1073010801,0107000-01073010801,168,7.3,33,7.4,8.9,4.5,73.7,8.5,8.8,33.51409785,-86.74669714,1073
AL,Birmingham,107000,1073010802,0107000-01073010802,172,6.6,37.2,11.2,8.4,6.8,75.8,7.7,8.3,33.48854935,-86.78084302,1073
AL,Birmingham,107000,1073010803,0107000-01073010803,514,12.5,31.7,5.7,9.9,4.2,70.4,15.1,12.2,33.52290939,-86.71026186,1073
AL,Birmingham,107000,1073010805,0107000-01073010805,86,9.7,49.6,7.8,9.8,6.2,80.8,10.3,9,33.49527925,-86.6987185,1073
AL,Birmingham,107000,1073011207,0107000-01073011207,815,19.2,39.3,4.6,12.7,4.8,74.6,21.6,16.8,33.67188487,-86.67725105,1073
AL,Birmingham,107000,1073011803,0107000-01073011803,928,20.9,42.1,5.1,12.9,5.7,74.3,24,18.1,33.62525752,-86.69986104,1073
AL,Birmingham,107000,1073012001,0107000-01073012001,304,16.2,54.8,11.1,11.1,11.1,79.5,16,12.9,33.59194861,-86.86438407,1073
AL,Birmingham,107000,1073012302,0107000-01073012302,144,14.9,30.1,5.7,10.6,5,65.7,22,16.3,33.55428164,-87.05446914,1073
AL,Birmingham,107000,1073012305,0107000-01073012305,403,15.4,47.5,5.8,11.9,5.5,79.7,17.2,13.1,33.46953581,-86.96831739,1073
AL,Birmingham,107000,1073012402,0107000-01073012402,418,18.3,43,6.8,11.4,7.2,74.5,20.8,15.6,33.54998417,-86.89945433,1073
AL,Birmingham,107000,1073012500,0107000-01073012500,410,22.4,54.4,6.9,12.9,9.9,78.4,24.6,17.3,33.52916049,-86.93464764,1073
AL,Birmingham,107000,1073012602,0107000-01073012602,371,19.9,48.6,7.6,11.3,9.8,74.8,21.7,15.9,33.57016467,-86.66643058,1073
AL,Birmingham,107000,1073012703,0107000-01073012703,498,12.6,20.6,3.4,9.4,2.2,64.6,13,12.1,33.46811809,-86.66718882,1073
AL,Birmingham,107000,1073012704,0107000-01073012704,113,10.6,31.2,6.5,9.3,5.2,68,15.8,12.7,33.50341959,-86.61809834,1073
AL,Birmingham,107000,1073013901,0107000-01073013901,952,19.9,50.4,6.8,12.5,7.8,79.2,19.9,14.8,33.47293849,-86.95473376,1073
AL,Birmingham,107000,1073014413,0107000-01073014413,397,9.9,23.5,5.1,8.3,3.1,66.4,10.9,10,33.42265931,-86.85086208,1073
AL,Birmingham,107000,1117030213,0107000-01117030213,644,11.1,29.3,5,9.3,3.8,70.4,13.1,12,33.43959752,-86.67359594,1117
AL,Birmingham,107000,1117030303,0107000-01117030303,968,12.3,22.2,2.8,9.6,1.8,68,13.6,12.3,33.42586612,-86.71381936,1117
AL,Hoover,135896,1073012906,0135896-01073012906,788,15.9,23.5,2.9,10.1,2,68.3,13.3,12.3,33.40451614,-86.78765023,1073
AL,Hoover,135896,1073012910,0135896-01073012910,218,6.9,32.1,7.1,9.1,4.6,71.3,11,10.5,33.41869377,-86.72213184,1073
AL,Hoover,135896,1073014203,0135896-01073014203,242,11.8,30.9,5.9,9.9,4.9,67.8,17.7,14,33.31280463,-86.90050201,1073
AL,Hoover,135896,1117030212,0135896-01117030212,97,18.1,23.3,2.1,9.2,1.8,65.6,16.4,13.9,33.4231254,-86.69639183,1117
AL,Hoover,135896,1117030305,0135896-01117030305,684,7.9,37.1,7.8,9,5.5,74.9,11.9,10.5,33.35063232,-86.77406775,1117
AL,Hoover,135896,1117030330,0135896-01117030330,342,9.2,45.8,12,8.6,8.9,79.3,10.7,9.3,33.41398238,-86.68875661,1117
AL,Hoover,135896,1117030344,0135896-01117030344,209,9.6,40.8,9.1,9.1,6.9,75.3,13.9,11.2,33.40999055,-86.6692094,1117
AL,Huntsville,137000,1083020802,0137000-01083020802,699,14.8,28.3,3.8,10.7,2.8,67.7,18.5,14.2,34.77870377,-86.795488,1083
AL,Huntsville,137000,1083021200,0137000-01083021200,822,13.6,33.3,5,10.3,4.1,69.8,16.3,13.2,34.65423653,-86.83403931,1083
AL,Huntsville,137000,1089000201,0137000-01089000201,760,24.8,50.8,5.6,14.1,8.7,77,26.6,19.7,34.77415538,-86.54954934,1089
AL,Huntsville,137000,1089010502,0137000-01089010502,167,14.9,52.1,8.9,11.4,9.9,77.9,18.2,13.6,34.83899448,-86.65935906,1089
AL,Huntsville,137000,1089010623,0137000-01089010623,661,10.8,29.1,5.4,9.8,3.8,69,13.8,11.6,34.7808033,-86.74097179,1089
AL,Huntsville,137000,1089010624,0137000-01089010624,70,12.1,31.3,5.5,9.7,4.3,69.7,14.6,12,34.79009445,-86.78348313,1089
AL,Huntsville,137000,1089010702,0137000-01089010702,732,17.8,37,5,12.2,4.9,72.8,20.1,15.6,34.81038039,-86.56083867,1089
AL,Huntsville,137000,1089010800,0137000-01089010800,860,11.1,35.9,7.5,9.9,6.2,70.2,16.7,13,34.74608848,-86.512981,1089
AL,Huntsville,137000,1089011022,0137000-01089011022,672,13.2,22.2,3.4,9.7,2.7,62.7,16.7,14,34.69900293,-86.71081457,1089
AL,Huntsville,137000,1089011300,0137000-01089011300,937,12.1,39.5,8.7,9.8,7.7,71.5,17.6,13.1,34.58714954,-86.51417578,1089
AL,Mobile,150000,1097000402,0150000-01097000402,103,26,65.9,9.1,14.8,16.1,84.3,25.5,20.3,30.70432698,-88.05214377,1097
AL,Mobile,150000,1097003605,0150000-01097003605,791,15.9,10.8,0.8,12.6,0.6,63.9,14.6,20.7,30.69516284,-88.18234678,1097
AL,Mobile,150000,1097003800,0150000-01097003800,669,22.3,54.9,6.8,13.1,9.5,81.1,22.9,17,30.7890622,-88.0305346,1097
AL,Mobile,150000,1097003902,0150000-01097003902,667,27.3,59.6,6.6,13.9,12.9,80.1,28.8,20.9,30.72007218,-88.10541101,1097
AL,Mobile,150000,1097006403,0150000-01097006403,142,18.6,36.2,6.6,11,7,70.3,22.3,16.6,30.6914801,-88.25264972,1097
AL,Mobile,150000,1097006404,0150000-01097006404,557,14.5,32.5,5.2,10.1,5,69.6,19.2,14.5,30.67637457,-88.22979163,1097
AL,Mobile,150000,1097006405,0150000-01097006405,603,15.7,29.9,4.4,11.8,3.6,73.3,17.1,15,30.67662003,-88.21882423,1097
AL,Mobile,150000,1097006801,0150000-01097006801,344,12.2,35.7,6.7,9.6,5.9,72.3,16.6,12.9,30.62395135,-88.21545201,1097
AL,Mobile,150000,1097006802,0150000-01097006802,219,19.4,36.6,6.6,10.3,7.5,68.1,24.1,17,30.60092058,-88.17768076,1097
AL,Montgomery,151000,1101005301,0151000-01101005301,623,16.2,20.8,2.4,9.9,1.7,64.4,19.8,15.2,32.40676931,-86.24670208,1101
AL,Montgomery,151000,1101005501,0151000-01101005501,539,19,35.9,5.2,10.7,5.7,69.8,24.7,16.6,32.37611483,-86.12160542,1101
AL,Montgomery,151000,1101005503,0151000-01101005503,492,11.6,25.9,5.2,9.6,3.6,68.3,15.2,12.6,32.35078576,-86.13253864,1101
AL,Montgomery,151000,1101005608,0151000-01101005608,136,8.8,34.1,7.1,8.9,5.2,74.1,11.7,10.1,32.29578117,-86.13165849,1101
AL,Montgomery,151000,1101005610,0151000-01101005610,730,19.1,37.3,4.5,11.9,4.6,75,21,15.9,32.29292053,-86.24617469,1101
AL,Montgomery,151000,1101005901,0151000-01101005901,896,20.3,47.5,6.6,11.4,7.7,78.2,19.6,14.5,32.29358924,-86.35321491,1101
AL,Tuscaloosa,177256,1125010102,0177256-01125010102,57,11.7,28.3,4.6,10,4,65.9,18,15.1,33.35336401,-87.54175508,1125
AL,Tuscaloosa,177256,1125010203,0177256-01125010203,130,15.5,27.6,4.3,9.7,3.7,64.9,18.9,15.1,33.32873936,-87.55795155,1125
AL,Tuscaloosa,177256,1125010500,0177256-01125010500,75,22.6,38.8,4.5,12.8,5.6,69.3,26.9,21,33.23574552,-87.49972197,1125
AL,Tuscaloosa,177256,1125010601,0177256-01125010601,58,17.3,41.2,6.9,10.9,8.8,68.9,24.8,18.2,33.2137806,-87.44423234,1125
AL,Tuscaloosa,177256,1125010702,0177256-01125010702,182,16.6,36.6,5.8,11.2,6,69.2,22.5,17.3,33.17992806,-87.38376031,1125
AL,Tuscaloosa,177256,1125010804,0177256-01125010804,534,18.5,40.8,7.3,10.4,8.1,71,20.1,16.1,33.19453946,-87.46527684,1125
AL,Tuscaloosa,177256,1125012501,0177256-01125012501,682,20.1,54.1,6.1,12.8,7.9,79.9,22.2,16.5,33.18264915,-87.61981067,1125
AL,Tuscaloosa,177256,1125012502,0177256-01125012502,80,11.7,31.7,5.8,9.6,4.2,68.8,16.2,12.8,33.12349833,-87.56324587,1125
AK,Anchorage,203000,2020001100,0203000-02020001100,940,14.8,32.3,5.6,8.9,5.5,51.7,21.7,12.2,61.21770919,-149.8912603,2020
