StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,Insurance,HighBloodPressure,Cancer,Asthma,HeartDisease,AnnualCheckUps,Smokes,MentalHealthIssues,Latitude,Longitude,newFIPS,CountyFIPS
AL,Birmingham,107000,1073003200,0107000-01073003200,931.0,26.8,57.0,6.0,14.4,11.1,78.2,29.6,22.0,33.5094018502,-86.8859081961,1073,1073
AL,Birmingham,107000,1073003300,0107000-01073003300,947.0,21.4,55.2,6.8,12.9,9.7,80.1,22.6,16.7,33.5171261108,-86.8913819749,1073,1073
AL,Birmingham,107000,1073010500,0107000-01073010500,114.0,23.9,60.5,7.1,13.6,11.1,80.7,26.5,18.6,33.4363786806,-86.9128923072,1073,1073
AL,Birmingham,107000,1073010701,0107000-01073010701,74.0,19.8,24.9,2.7,11.2,2.4,66.2,18.1,16.1,33.473886155,-86.8146487762,1073,1073
AL,Birmingham,107000,1073010801,0107000-01073010801,168.0,7.3,33.0,7.4,8.9,4.5,73.7,8.5,8.8,33.514097853,-86.7466971362,1073,1073
AL,Birmingham,107000,1073010802,0107000-01073010802,172.0,6.6,37.2,11.2,8.4,6.8,75.8,7.7,8.3,33.4885493477,-86.780843024,1073,1073
AL,Birmingham,107000,1073010803,0107000-01073010803,514.0,12.5,31.7,5.7,9.9,4.2,70.4,15.1,12.2,33.5229093892,-86.7102618642,1073,1073
AL,Birmingham,107000,1073010805,0107000-01073010805,86.0,9.7,49.6,7.8,9.8,6.2,80.8,10.3,9.0,33.4952792472,-86.6987184974,1073,1073
AL,Birmingham,107000,1073011207,0107000-01073011207,815.0,19.2,39.3,4.6,12.7,4.8,74.6,21.6,16.8,33.6718848706,-86.6772510465,1073,1073
AL,Birmingham,107000,1073011803,0107000-01073011803,928.0,20.9,42.1,5.1,12.9,5.7,74.3,24.0,18.1,33.6252575173,-86.6998610409,1073,1073
AL,Birmingham,107000,1073012001,0107000-01073012001,304.0,16.2,54.8,11.1,11.1,11.1,79.5,16.0,12.9,33.5919486112,-86.864384068,1073,1073
AL,Birmingham,107000,1073012302,0107000-01073012302,144.0,14.9,30.1,5.7,10.6,5.0,65.7,22.0,16.3,33.5542816352,-87.0544691416,1073,1073
AL,Birmingham,107000,1073012305,0107000-01073012305,403.0,15.4,47.5,5.8,11.9,5.5,79.7,17.2,13.1,33.4695358064,-86.96831739,1073,1073
AL,Birmingham,107000,1073012402,0107000-01073012402,418.0,18.3,43.0,6.8,11.4,7.2,74.5,20.8,15.6,33.549984172,-86.8994543327,1073,1073
AL,Birmingham,107000,1073012500,0107000-01073012500,410.0,22.4,54.4,6.9,12.9,9.9,78.4,24.6,17.3,33.529160486,-86.9346476445,1073,1073
AL,Birmingham,107000,1073012602,0107000-01073012602,371.0,19.9,48.6,7.6,11.3,9.8,74.8,21.7,15.9,33.570164674,-86.666430582,1073,1073
AL,Birmingham,107000,1073012703,0107000-01073012703,498.0,12.6,20.6,3.4,9.4,2.2,64.6,13.0,12.1,33.4681180943,-86.6671888213,1073,1073
AL,Birmingham,107000,1073012704,0107000-01073012704,113.0,10.6,31.2,6.5,9.3,5.2,68.0,15.8,12.7,33.5034195908,-86.6180983403,1073,1073
AL,Birmingham,107000,1073013901,0107000-01073013901,952.0,19.9,50.4,6.8,12.5,7.8,79.2,19.9,14.8,33.4729384906,-86.9547337648,1073,1073
AL,Birmingham,107000,1073014413,0107000-01073014413,397.0,9.9,23.5,5.1,8.3,3.1,66.4,10.9,10.0,33.4226593117,-86.8508620751,1073,1073
AL,Birmingham,107000,1117030213,0107000-01117030213,644.0,11.1,29.3,5.0,9.3,3.8,70.4,13.1,12.0,33.4395975193,-86.6735959359,1117,1117
AL,Birmingham,107000,1117030303,0107000-01117030303,968.0,12.3,22.2,2.8,9.6,1.8,68.0,13.6,12.3,33.4258661239,-86.713819356,1117,1117
AL,Hoover,135896,1073012906,0135896-01073012906,788.0,15.9,23.5,2.9,10.1,2.0,68.3,13.3,12.3,33.4045161403,-86.7876502287,1073,1073
AL,Hoover,135896,1073012910,0135896-01073012910,218.0,6.9,32.1,7.1,9.1,4.6,71.3,11.0,10.5,33.418693772,-86.722131839,1073,1073
AL,Hoover,135896,1073014203,0135896-01073014203,242.0,11.8,30.9,5.9,9.9,4.9,67.8,17.7,14.0,33.3128046299,-86.900502008,1073,1073
AL,Hoover,135896,1117030212,0135896-01117030212,97.0,18.1,23.3,2.1,9.2,1.8,65.6,16.4,13.9,33.423125404,-86.6963918322,1117,1117
