SiteId,Latitude,Longitude,Sample Duration,PM2.5_Exceptional,PM2.5_ExceedCount,PM2.5_Max,State,County,City,index,Ozone_Exceptional,Ozone_ExceedCount,Ozone_Max,StateAbbr,city_state
11,33.553056,-86.815,24-HR BLK AVG,0,0.0,26.6,Alabama,Jefferson,Birmingham,69,0.0,1.0,0.078,AL,Birmingham_AL
15,33.499722,-86.924167,24 HOUR,0,0.0,22.0,Alabama,Jefferson,Birmingham,306,,,,AL,Birmingham_AL
17,33.521427,-86.844112,24 HOUR,0,0.0,23.1,Alabama,Jefferson,Birmingham,411,,,,AL,Birmingham_AL
25,34.68547,-86.58816,24 HOUR,0,0.0,18.5,Alabama,Madison,Huntsville,500,0.0,0.0,0.07,AL,Huntsville_AL
29,32.412811,-86.263394,24 HOUR,0,0.0,20.8,Alabama,Montgomery,Montgomery,564,0.0,0.0,0.06,AL,Montgomery_AL
38,33.189931,-87.484189,24 HOUR,0,0.0,20.5,Alabama,Tuscaloosa,Tuscaloosa,718,,,,AL,Tuscaloosa_AL
41,61.205861,-149.824602,24-HR BLK AVG,0,1.0,37.0,Alaska,Anchorage ,Anchorage,775,,,,AK,Anchorage_AK
43,61.3267,-149.569707,24-HR BLK AVG,0,0.0,21.2,Alaska,Anchorage ,Anchorage,790,,,,AK,Anchorage_AK
75,33.48378,-112.14256,24-HR BLK AVG,0,5.0,86.6,Arizona,Maricopa,Phoenix,1730,0.0,9.0,0.088,AZ,Phoenix_AZ
75,33.48378,-112.14256,24-HR BLK AVG,0,5.0,86.6,Arizona,Maricopa,Phoenix,1730,0.0,14.0,0.088,AZ,Phoenix_AZ
75,33.48378,-112.14256,24-HR BLK AVG,0,5.0,86.6,Arizona,Maricopa,Phoenix,1730,0.0,14.0,0.088,AZ,Phoenix_AZ
76,33.41018,-111.86536,24-HR BLK AVG,0,1.0,41.1,Arizona,Maricopa,Mesa,1769,0.0,21.0,0.082,AZ,Mesa_AZ
76,33.41018,-111.86536,24-HR BLK AVG,0,1.0,41.1,Arizona,Maricopa,Mesa,1769,0.0,16.0,0.082,AZ,Mesa_AZ
76,33.41018,-111.86536,24-HR BLK AVG,0,1.0,41.1,Arizona,Maricopa,Mesa,1769,0.0,21.0,0.082,AZ,Mesa_AZ
77,33.56031,-112.06619,24-HR BLK AVG,0,0.0,32.6,Arizona,Maricopa,Phoenix,1799,0.0,25.0,0.085,AZ,Phoenix_AZ
77,33.56031,-112.06619,24-HR BLK AVG,0,0.0,32.6,Arizona,Maricopa,Phoenix,1799,0.0,19.0,0.084,AZ,Phoenix_AZ
77,33.56031,-112.06619,24-HR BLK AVG,0,0.0,32.6,Arizona,Maricopa,Phoenix,1799,0.0,25.0,0.085,AZ,Phoenix_AZ
