State,StateAbbr,County,CountyFIPS,Asthma,AFHeartDisease,COPD,Depression,HeartFailure,Hypertension,CoronaryArtery,Psychotic,Stroke,TotalCost
Alabama ,AL,Jefferson ,1073,21757.522534,27331.927441,27268.357869,22037.223923,30255.834117,15218.437417,21404.634337,22090.977918,34328.945095,472312.20209350006
Alabama ,AL,Shelby ,1117,20142.96371,24396.688013,24967.366754,20049.308852,27598.770969,14185.835955,17868.764979,26293.132506,32793.998852,435321.6214605
Alabama ,AL,Limestone ,1083,20151.819559,24468.882717,23465.973218,19662.616825,25908.200047,13671.530295,18854.92752,22723.274591,29955.291841,394503.7136105001
Alabama ,AL,Madison ,1089,18124.055919,24523.728054,24563.548339,19842.7471,27227.308408,13421.957182,18385.145594,21603.837987,28306.421685,401355.4595405
Alabama ,AL,Mobile ,1097,24218.415856,25834.220109,26209.46158,20486.648795,27648.647626,15057.360555,19242.935754,19222.354271,31190.397745,438495.25586180005
Alabama ,AL,Montgomery ,1101,23968.606555,27202.70264,30549.184933,23689.232581,31126.5233,14945.3642,20949.477921,25518.943601,34155.242367,504330.20829820004
Alabama ,AL,Tuscaloosa ,1125,22893.2678,23474.524019,25139.459844,22068.427787,28867.387977,14146.489814,20907.527669,22856.144045,34320.166254,449780.57914199994
Alaska ,AK,Anchorage ,2020,19923.03713,18518.851203,22063.30576,16486.593888,24309.738029,12930.101574,16256.220455,12955.542522,28008.90646,346882.02347929997
Arizona ,AZ,Maricopa ,4013,19236.144538,23491.800939,24438.769217,19390.408226,28969.055858,13932.196146,18367.444481,21760.123716,29288.119738,420326.9708162
Arizona ,AZ,Pima ,4019,17771.897759,20259.806206,21949.573816,16725.419259,26127.965936,12572.355264,16780.825407,19943.942673,26421.628733,370244.9558775
Arizona ,AZ,Yuma ,4027,18461.46502,23391.745541,23641.164779,19191.819967,26881.657518,13020.090657,18656.945321,18712.273394,28165.284241,388986.75789700006
Arkansas ,AR,Washington ,5143,20456.90142,22603.447098,24230.162295,18264.644888,28135.116641,14015.771692,18917.881806,16854.574391,32177.926513,403572.6142115
Arkansas ,AR,Sebastian ,5131,21870.865796,25320.950412,26985.488838,20428.186712,29259.417955,14689.822116,19977.932296,26504.730911,35272.566139,449884.77017319994
Arkansas ,AR,Craighead ,5031,22615.961102,24233.515561,24662.531222,20400.104083,30242.775624,14550.521028,19152.09792,22702.661996,30700.643167,459221.619411
Arkansas ,AR,Pulaski ,5119,20203.659348,24421.939577,25123.111897,19196.743531,27733.815917,14173.700151,18041.218615,23062.252283,32743.311748,420419.2274265
Arkansas ,AR,Benton ,5007,19273.245481,23246.002917,22751.612898,18522.71127,25589.473839,13563.935714,16604.220474,21373.864154,30252.586213,408479.86533770006
California ,CA,Orange ,6059,22194.141099,25826.836306,28814.646225,22921.294992,29687.26363,15013.912722,20016.0035,31796.190657,34776.470824,462626.763632
California ,CA,Contra Costa ,6013,19477.736543,22711.079617,25739.062938,18236.522496,27799.568452,13534.709865,19629.286057,15427.686965,28285.995635,400649.40813249996
California ,CA,San Bernardino ,6071,24912.613558,29123.253377,29125.34117,24087.949369,29264.501704,17130.316455,23074.475799,25396.801816,38864.742296,498107.3825280001
California ,CA,Kern ,6029,20367.547378,25978.980211,24668.43177,20777.230789,27740.299864,14628.520332,18533.718196,20981.418073,34076.628468,437797.1160892999
California ,CA,Los Angeles ,6037,26317.957912,32048.491597,34485.545919,26565.501262,33578.031306,18203.50941,23752.01311,36123.131731,42347.153302,551336.090754
California ,CA,San Diego ,6073,21717.601091,24501.603387,27962.088108,21387.881062,27371.921338,15668.638249,20516.77185,26342.99096,31365.2761,464565.2644580001
California ,CA,Sacramento ,6067,19815.857591,21817.248106,23085.052243,17716.945583,25968.812586,13081.641765,19008.750006,16372.107566,27239.497877,389998.82076160004
California ,CA,Riverside ,6065,21023.119655,24306.141142,26672.455652,21472.032546,28406.430709,15348.720685,20029.415963,27376.491535,32800.023612,445971.26541199995
California ,CA,Fresno ,6019,18268.145159,23512.054497,23473.769248,18128.194375,26158.697192,13050.998819,17941.319833,15568.435479,27002.416559,386233.203284
California ,CA,Alameda ,6001,20399.111952,25369.823296,26066.196146,19035.855704,27361.92102,13258.324151,19496.245159,17342.562696,31778.386181,404908.00631559995
California ,CA,San Joaquin ,6077,17933.244856,22707.055228,23641.287473,18664.867325,25452.676587,12488.13899,17171.694633,17261.293232,28286.403779,384020.798674
California ,CA,Santa Clara ,6085,20337.211021,22667.468515,25542.770534,19133.035586,27254.169376,12852.026746,18076.991087,16336.478507,30041.293424,390208.7191477
California ,CA,Stanislaus ,6099,20396.577626,23532.504542,23621.777463,17795.909913,27268.215123,13487.126547,18098.96674,16426.955498,33128.637803,395375.61882310006
California ,CA,Ventura ,6111,20272.668283,24046.543949,26617.070353,20210.914086,28286.166724,14173.965723,18783.866494,24257.668157,29854.007959,436791.41302359995
California ,CA,Shasta ,6089,17430.595536,19141.844215,20849.460634,16053.940527,23175.78374,12509.103646,16251.631471,15495.075665,22839.976505,349973.124969
California ,CA,San Mateo ,6081,17253.615701,20874.696704,22390.828868,17821.84942,24731.277545,11839.192678,16933.613341,19168.289747,27113.510063,358741.9473983
California ,CA,Placer ,6061,15080.866264,17150.557998,19948.413101,15379.232482,22358.92691,11326.887556,15341.337813,14461.61539,23194.532654,322652.433244
California ,CA,Monterey ,6053,18298.839546,21022.434337,23209.685162,17511.570525,26989.764173,11639.496152,16459.958945,14435.485463,26880.29262,359131.784483
California ,CA,San Francisco ,6075,18062.174234,22319.107755,20566.517814,15405.16289,25225.18039,11320.037301,18238.195659,13585.265645,29585.250995,348385.5746389
California ,CA,Santa Barbara ,6083,17541.081094,18732.230801,21141.217013,16337.133001,22189.452387,12122.736132,15789.072412,17910.187622,26043.321653,373415.61169409996
California ,CA,Solano ,6095,19080.711548,23443.240953,24193.115575,18185.557133,28023.839785,13868.847757,19770.052225,14585.312586,30053.044199,385473.9306013
Colorado ,CO,Jefferson ,8059,19821.609158,21848.684571,21789.897732,18457.135991,25924.696089,14849.134969,18117.874767,15832.302454,30920.191755,408071.691361
Colorado ,CO,Adams ,8001,22979.728974,26772.649769,24337.014913,20649.152309,28562.531496,15948.26037,20310.614417,18049.244493,31011.616742,435837.5678688999
Colorado ,CO,Arapahoe ,8005,21538.568256,24920.819944,25506.945151,21066.709047,28671.697659,15575.077682,19983.534713,16952.711864,31672.354179,426562.8203836
Colorado ,CO,Douglas ,8035,19637.635796,21599.489187,24084.601903,20757.022179,26561.080676,14606.062931,17447.18955,19700.102912,28455.660605,429296.009864
Colorado ,CO,Boulder ,8013,18472.209451,21869.968073,23066.495482,17152.758924,27285.582545,15003.926262,15498.496414,14785.107811,29225.26908,394546.6618092
Colorado ,CO,El Paso ,8041,19300.303447,21794.346146,21259.833181,17730.276289,24170.221916,13224.390391,16706.950892,14889.008677,27805.495547,364140.4867613
Colorado ,CO,Denver ,8031,23487.165197,25884.983245,25955.959092,20382.503209,29112.751964,16534.342539,20686.375519,16895.127802,35344.05376,452752.4333039999
Colorado ,CO,Larimer ,8069,19619.765958,20467.496293,22411.656212,17836.983834,26524.892338,13680.361249,16899.219782,20200.770909,29094.217684,396296.64520100004
Colorado ,CO,Weld ,8123,22921.859241,23018.708848,23010.771715,20107.525381,25651.441353,14440.801607,18397.298197,17302.484814,29371.998821,428012.316576
Colorado ,CO,Pueblo ,8101,17879.246891,24049.560516,22010.096989,17694.366924,25110.141893,13897.764891,18659.701524,14036.114786,32595.469094,394915.0091628999
Florida ,FL,Palm Beach ,12099,22983.187704,27204.387395,29029.100363,24234.939244,30672.909485,16468.381215,19733.854981,32023.17198,31760.272432,490437.055587
Florida ,FL,Lee ,12071,19483.056692,23456.891873,24131.607061,20257.856627,28138.678765,13806.425511,17496.605188,26690.475507,27055.001011,421658.2902529
Florida ,FL,Pinellas ,12103,26037.994143,28435.236554,30277.098869,25435.2548,33713.663063,17295.195547,22787.108849,30205.102094,34950.105772,524112.72189899994
Florida ,FL,Broward ,12011,25733.659482,30633.832584,31827.40696,26313.99713,35668.855973,18110.379449,22623.951597,30661.170687,38917.495744,537083.012458
Florida ,FL,Alachua ,12001,21192.669543,25671.734228,26788.088775,22705.149311,30102.248376,14669.795856,20405.720165,20792.304188,32002.918962,452849.38285969995
Florida ,FL,Duval ,12031,24093.422784,29844.243889,29645.222889,25035.093408,34027.363661,16532.482787,22872.16213,25417.691809,35756.076038,512074.8095491
Florida ,FL,Polk ,12105,22820.69818,26430.517019,26701.42052,23334.922638,31544.944053,14934.097,19765.380334,29011.482456,34408.517819,474508.44582779997
Florida ,FL,Brevard ,12009,19666.766565,24950.531644,24445.512391,21796.891999,27642.535654,14235.089348,18550.749433,26026.415315,30103.430729,442905.2823559999
Florida ,FL,Miami-Dade ,12086,25759.518754,34863.12107,33041.514438,25963.542452,36483.319524,19481.571126,23877.916866,29533.64883,39708.521749,559192.7230219999
Florida ,FL,Orange ,12095,23496.318539,30307.218921,30822.389413,26326.832292,34144.83623,16545.875899,21842.476674,29018.024959,39777.760678,520196.7945411999
