Place_TractID,SiteId,PM2.5_Exceptional,PM2.5_ExceedCount,PM2.5_Max,Ozone_Exceptional,Ozone_ExceedCount,Ozone_Max
0107000-01073003200,11.0,0,0.0,26.6,0.0,1.0,0.078
0107000-01073003300,11.0,0,0.0,26.6,0.0,1.0,0.078
0107000-01073010500,11.0,0,0.0,26.6,0.0,1.0,0.078
0107000-01073010701,11.0,0,0.0,26.6,0.0,1.0,0.078
0107000-01073010801,11.0,0,0.0,26.6,0.0,1.0,0.078
0107000-01073010802,11.0,0,0.0,26.6,0.0,1.0,0.078
0107000-01073010803,11.0,0,0.0,26.6,0.0,1.0,0.078
0107000-01073010805,11.0,0,0.0,26.6,0.0,1.0,0.078
0107000-01073011207,11.0,0,0.0,26.6,0.0,1.0,0.078
0107000-01073011803,11.0,0,0.0,26.6,0.0,1.0,0.078
0107000-01073012001,11.0,0,0.0,26.6,0.0,1.0,0.078
0107000-01073012302,11.0,0,0.0,26.6,0.0,1.0,0.078
0107000-01073012305,11.0,0,0.0,26.6,0.0,1.0,0.078
0107000-01073012402,11.0,0,0.0,26.6,0.0,1.0,0.078
0107000-01073012500,11.0,0,0.0,26.6,0.0,1.0,0.078
0107000-01073012602,11.0,0,0.0,26.6,0.0,1.0,0.078
0107000-01073012703,11.0,0,0.0,26.6,0.0,1.0,0.078
0107000-01073012704,11.0,0,0.0,26.6,0.0,1.0,0.078
0107000-01073013901,11.0,0,0.0,26.6,0.0,1.0,0.078
0107000-01073014413,11.0,0,0.0,26.6,0.0,1.0,0.078
0107000-01117030213,11.0,0,0.0,26.6,0.0,1.0,0.078
0107000-01117030303,11.0,0,0.0,26.6,0.0,1.0,0.078
0135896-01073012906,11.0,0,0.0,26.6,0.0,1.0,0.078
0135896-01073012910,11.0,0,0.0,26.6,0.0,1.0,0.078
0135896-01073014203,11.0,0,0.0,26.6,0.0,1.0,0.078
0135896-01117030212,11.0,0,0.0,26.6,0.0,1.0,0.078
0135896-01117030305,11.0,0,0.0,26.6,0.0,1.0,0.078
0135896-01117030330,11.0,0,0.0,26.6,0.0,1.0,0.078
0135896-01117030344,11.0,0,0.0,26.6,0.0,1.0,0.078
0137000-01083020802,25.0,0,0.0,18.5,0.0,0.0,0.07
0137000-01083021200,25.0,0,0.0,18.5,0.0,0.0,0.07
0137000-01089000201,25.0,0,0.0,18.5,0.0,0.0,0.07
0137000-01089010502,25.0,0,0.0,18.5,0.0,0.0,0.07
0137000-01089010623,25.0,0,0.0,18.5,0.0,0.0,0.07
0137000-01089010624,25.0,0,0.0,18.5,0.0,0.0,0.07
0137000-01089010702,25.0,0,0.0,18.5,0.0,0.0,0.07
0137000-01089010800,25.0,0,0.0,18.5,0.0,0.0,0.07
0137000-01089011022,25.0,0,0.0,18.5,0.0,0.0,0.07
0137000-01089011300,25.0,0,0.0,18.5,0.0,0.0,0.07
0150000-01097000402,29.0,0,0.0,20.8,0.0,0.0,0.06
0150000-01097003605,29.0,0,0.0,20.8,0.0,0.0,0.06
0150000-01097003800,29.0,0,0.0,20.8,0.0,0.0,0.06
0150000-01097003902,29.0,0,0.0,20.8,0.0,0.0,0.06
0150000-01097006403,29.0,0,0.0,20.8,0.0,0.0,0.06
0150000-01097006404,29.0,0,0.0,20.8,0.0,0.0,0.06
0150000-01097006405,29.0,0,0.0,20.8,0.0,0.0,0.06
0150000-01097006801,29.0,0,0.0,20.8,0.0,0.0,0.06
0150000-01097006802,29.0,0,0.0,20.8,0.0,0.0,0.06
0151000-01101005301,29.0,0,0.0,20.8,0.0,0.0,0.06
0151000-01101005501,29.0,0,0.0,20.8,0.0,0.0,0.06
0151000-01101005503,29.0,0,0.0,20.8,0.0,0.0,0.06
0151000-01101005608,29.0,0,0.0,20.8,0.0,0.0,0.06
0151000-01101005610,29.0,0,0.0,20.8,0.0,0.0,0.06
0151000-01101005901,29.0,0,0.0,20.8,0.0,0.0,0.06
0177256-01125010102,11.0,0,0.0,26.6,0.0,1.0,0.078
0177256-01125010203,11.0,0,0.0,26.6,0.0,1.0,0.078
0177256-01125010500,11.0,0,0.0,26.6,0.0,1.0,0.078
0177256-01125010601,11.0,0,0.0,26.6,0.0,1.0,0.078
0177256-01125010702,11.0,0,0.0,26.6,0.0,1.0,0.078
0177256-01125010804,11.0,0,0.0,26.6,0.0,1.0,0.078
0177256-01125012501,11.0,0,0.0,26.6,0.0,1.0,0.078
0177256-01125012502,11.0,0,0.0,26.6,0.0,1.0,0.078
0404720-04013082207,75.0,0,5.0,86.6,0.0,14.0,0.088
0412000-04013422307,76.0,0,1.0,41.1,0.0,16.0,0.082
0412000-04013810100,85.0,0,0.0,34.5,0.0,0.0,0.068
0412000-04013817300,76.0,0,1.0,41.1,0.0,16.0,0.082
0427400-04013422636,76.0,0,1.0,41.1,0.0,16.0,0.082
0427820-04013061011,79.0,0,1.0,40.0,0.0,2.0,0.077
0427820-04013061044,79.0,0,1.0,40.0,0.0,2.0,0.077
0427820-04013061047,79.0,0,1.0,40.0,0.0,2.0,0.077
0446000-04013420108,96.0,0,0.0,18.1,0.0,8.0,0.08
0446000-04013420114,76.0,0,1.0,41.1,0.0,16.0,0.082
0446000-04013420115,76.0,0,1.0,41.1,0.0,16.0,0.082
0446000-04013420214,76.0,0,1.0,41.1,0.0,16.0,0.082
0446000-04013422627,76.0,0,1.0,41.1,0.0,16.0,0.082
0446000-04013422630,76.0,0,1.0,41.1,0.0,16.0,0.082
0446000-04013422639,76.0,0,1.0,41.1,0.0,16.0,0.082
0446000-04013817600,76.0,0,1.0,41.1,0.0,16.0,0.082
0454050-04013040521,79.0,0,1.0,40.0,0.0,2.0,0.077
0454050-04013071506,79.0,0,1.0,40.0,0.0,2.0,0.077
0454050-04013071802,79.0,0,1.0,40.0,0.0,2.0,0.077
0455000-04013113400,83.0,0,4.0,86.2,0.0,11.0,0.078
0455000-04013116733,83.0,0,4.0,86.2,0.0,11.0,0.078
0455000-04013217300,96.0,0,0.0,18.1,0.0,8.0,0.08
0455000-04013610100,79.0,0,1.0,40.0,0.0,2.0,0.077
0455000-04013614300,79.0,0,1.0,40.0,0.0,2.0,0.077
0465000-04013105002,96.0,0,0.0,18.1,0.0,8.0,0.08
0465000-04013613000,77.0,0,0.0,32.6,0.0,19.0,0.084
0465000-04013613200,77.0,0,0.0,32.6,0.0,19.0,0.084
0471510-04013071505,79.0,0,1.0,40.0,0.0,2.0,0.077
0473000-04013810600,85.0,0,0.0,34.5,0.0,0.0,0.068
0477000-04019000100,123.0,0,0.0,21.7,0.0,1.0,0.074
0477000-04019004053,123.0,0,0.0,21.7,0.0,1.0,0.074
0477000-04019004061,123.0,0,0.0,21.7,0.0,1.0,0.074
