tract,HPI
1073003200,147.35
1073003300,211.99
1073010500,167.48
1073010701,670.86
1073010801,607.68
1073010802,670.86
1073010803,607.68
1073010805,607.68
1073011207,210.11
1073011803,210.11
1073012001,211.99
1073012302,237.33
1073012305,237.33
1073012402,211.99
1073012500,149.41
1073012602,243.57
1073012703,415.49
1073012704,246.83
1073012906,475.29
1073012910,415.49
1073013901,237.33
1073014203,247.24
1073014413,370.76
1083020802,192.22
1083021200,192.22
1089000201,190.92
1089010502,188.35
1089010623,179.18
1089010624,179.18
1089010702,190.92
1089010800,478.90
1089011022,175.93
1089011300,309.37
1097003605,279.15
1097003800,202.68
1097003902,78.96
1097006403,279.15
1097006404,279.15
1097006405,279.15
1097006801,211.78
1097006802,176.14
1101005301,151.38
1101005501,178.26
1101005503,178.26
1101005608,178.26
1101005610,178.26
1101005901,122.96
1117030212,246.83
1117030213,246.83
1117030303,415.49
1117030305,247.24
1117030330,246.83
1117030344,246.83
1125010102,249.46
1125010203,215.99
1125010500,241.16
1125010601,241.16
1125010702,176.48
1125010804,241.16
1125012501,324.99
1125012502,217.95
2020001100,224.78
4013040521,500.10
4013061011,465.62
4013061044,293.44
4013061047,465.62
4013071505,330.86
4013071506,330.86
4013071802,330.86
4013082207,280.36
4013105002,858.09
4013113400,490.80
4013116733,583.81
4013217300,858.09
4013420108,284.22
4013420114,284.22
4013420115,284.22
4013420214,267.13
4013422307,300.38
4013422627,284.22
4013422630,274.32
4013422636,412.15
4013422639,412.15
4013610100,288.06
4013613000,308.07
4013613200,308.07
4013614300,418.00
4013810100,349.54
4013810600,349.54
4013817300,231.26
4013817600,306.09
4019000100,352.56
4019004053,571.98
4019004061,306.02
4019004310,258.91
4019004506,319.43
4019004513,319.43
4019004613,422.77
4019004725,604.43
4019004726,604.43
4027000403,325.87
4027000404,325.87
4027011107,214.82
4027011700,214.82
5007021311,411.44
5007021406,396.08
5031000900,270.18
5119000200,251.48
5119004006,203.45
5119004007,203.45
5131010301,194.23
5143010101,396.08
5143010102,447.42
5143010503,447.42
5143011001,519.07
6001433800,1504.46
6001435200,1266.38
6001450752,1631.10
6001982000,557.67
6001983200,557.67
6013313103,873.04
6013313204,873.04
6013315000,873.04
6013345105,1626.63
6013355200,873.04
6013355306,1206.85
6013356002,973.15
6013367200,1122.82
6013386000,1655.42
6019000800,290.58
6019001500,346.88
6019001900,315.60
6019003004,584.80
6019004506,599.34
6019004602,599.34
6019004902,590.84
6029000906,546.14
6029000907,546.14
6029000909,546.14
6029001000,546.14
6029001201,546.14
6029002700,489.67
6029003103,457.63
6029003807,435.65
6029003810,435.65
6029003811,435.65
6029005103,546.14
6037300501,522.36
6037402404,1082.12
6037403200,1398.44
6037403321,1246.19
6037403500,1163.37
6037403600,944.65
6037405400,1451.06
6037406901,1451.06
6037406902,1451.06
6037407001,1337.67
6037408141,1318.58
6037431501,1703.63
6037431502,1703.63
6037432102,1703.63
6037432902,1527.55
6037460100,1632.76
6037460401,1632.76
6037501002,1296.96
6037541100,946.50
6037541801,886.56
6037541802,886.56
6037542103,785.97
6037542104,785.97
6037542106,820.80
6037543100,899.64
6037543305,899.64
6037571503,1222.48
6037572800,950.37
6037573403,910.12
6037574700,1413.82
6037575500,950.37
6037601501,770.24
6037601700,862.44
6037601802,862.44
6037602301,1382.04
6037703002,483.97
6037900201,387.12
6037901102,509.70
6037910101,435.81
6037910709,435.81
6037920032,960.03
6037920043,761.47
6037980004,435.81
6037980008,1285.42
