StateAbbr,PlaceName,city_state,PlaceFIPS,TractFIPS,CountyFIPS,Place_TractID,SFCount
AL,Birmingham,Birmingham_AL,107000,1073010801,1073,0107000-01073010801,1
AL,Huntsville,Huntsville_AL,137000,1089011022,1089,0137000-01089011022,1
AL,Montgomery,Montgomery_AL,151000,1101005301,1101,0151000-01101005301,1
AL,Montgomery,Montgomery_AL,151000,1101005901,1101,0151000-01101005901,1
AK,Anchorage,Anchorage_AK,203000,2020001100,2020,0203000-02020001100,1
AZ,Mesa,Mesa_AZ,446000,4013817600,4013,0446000-04013817600,1
AZ,Phoenix,Phoenix_AZ,455000,4013113400,4013,0455000-04013113400,1
AZ,Phoenix,Phoenix_AZ,455000,4013217300,4013,0455000-04013217300,1
AZ,Tucson,Tucson_AZ,477000,4019004310,4019,0477000-04019004310,1
AZ,Yuma,Yuma_AZ,485540,4027011107,4027,0485540-04027011107,1
CA,Oakland,Oakland_CA,653000,6001982000,6001,0653000-06001982000,1
CA,Livermore,Livermore_CA,641992,6001450752,6001,0641992-06001450752,2
CA,Livermore,Livermore_CA,641992,6001450752,6001,0641992-06001450752,2
CA,Concord,Concord_CA,616000,6013315000,6013,0616000-06013315000,1
CA,Richmond,Richmond_CA,660620,6013386000,6013,0660620-06013386000,1
CA,Fresno,Fresno_CA,627000,6019000800,6019,0627000-06019000800,1
CA,Fresno,Fresno_CA,627000,6019004506,6019,0627000-06019004506,1
CA,Pasadena,Pasadena_CA,656000,6037460401,6037,0656000-06037460401,1
CA,Carson,Carson_CA,611530,6037543100,6037,0611530-06037543100,1
CA,Whittier,Whittier_CA,685292,6037501002,6037,0685292-06037501002,1
CA,El Monte,El Monte_CA,622230,6037431502,6037,0622230-06037431502,1
CA,Glendale,Glendale_CA,630000,6037300501,6037,0630000-06037300501,1
CA,Los Angeles,Los Angeles_CA,644000,6037980010,6037,0644000-06037980010,1
CA,Salinas,Salinas_CA,664224,6053000101,6053,0664224-06053000101,1
CA,Fullerton,Fullerton_CA,628000,6059086701,6059,0628000-06059086701,1
CA,Riverside,Riverside_CA,662000,6065042003,6065,0662000-06065042003,1
CA,Riverside,Riverside_CA,662000,6065042214,6065,0662000-06065042214,1
CA,Sacramento,Sacramento_CA,664000,6067004802,6067,0664000-06067004802,1
CA,Sacramento,Sacramento_CA,664000,6067005901,6067,0664000-06067005901,2
CA,Sacramento,Sacramento_CA,664000,6067005901,6067,0664000-06067005901,2
CA,Victorville,Victorville_CA,682590,6071009117,6071,0682590-06071009117,1
CA,San Bernardino,San Bernardino_CA,665000,6071007601,6071,0665000-06071007601,1
CA,San Bernardino,San Bernardino_CA,665000,6071004104,6071,0665000-06071004104,1
CA,Fontana,Fontana_CA,624680,6071009202,6071,0624680-06071009202,1
CA,San Francisco,San Francisco_CA,667000,6075980600,6075,0667000-06075980600,1
CA,Stockton,Stockton_CA,675000,6077002402,6077,0675000-06077002402,1
CA,Mountain View,Mountain View_CA,649670,6085504601,6085,0649670-06085504601,8
CA,Mountain View,Mountain View_CA,649670,6085510001,6085,0649670-06085510001,1
CA,Mountain View,Mountain View_CA,649670,6085504601,6085,0649670-06085504601,8
CA,Mountain View,Mountain View_CA,649670,6085504601,6085,0649670-06085504601,8
CA,Mountain View,Mountain View_CA,649670,6085504601,6085,0649670-06085504601,8
CA,Sunnyvale,Sunnyvale_CA,677000,6085508101,6085,0677000-06085508101,4
CA,Mountain View,Mountain View_CA,649670,6085504601,6085,0649670-06085504601,8
CA,Mountain View,Mountain View_CA,649670,6085504601,6085,0649670-06085504601,8
CA,San Jose,San Jose_CA,668000,6085502001,6085,0668000-06085502001,1
