TractFIPS,tract,usps_zip_pref_state,usps_zip_pref_city,StateAbbr,PlaceName
25025980300,25025980300.0,MA,DORCHESTER,MA,Boston
25025980300,25025980300.0,MA,DORCHESTER CENTER,MA,Boston
25025980300,25025980300.0,MA,JAMAICA PLAIN,MA,Boston
25025981100,25025981100.0,MA,MATTAPAN,MA,Boston
25025981100,25025981100.0,MA,JAMAICA PLAIN,MA,Boston
25025981100,25025981100.0,MA,ROSLINDALE,MA,Boston
25025981202,25025981202.0,MA,SOUTH BOSTON,MA,Boston
25025981300,25025981300.0,MA,EAST BOSTON,MA,Boston
25025981800,25025981800.0,MA,JAMAICA PLAIN,MA,Boston
25025980101,25025980101.0,MA,WINTHROP,MA,Boston
34017006900,34017006900.0,NJ,NORTH BERGEN,NJ,Jersey City
34017006900,34017006900.0,NJ,JERSEY CITY,NJ,Jersey City
34017006900,34017006900.0,NJ,JERSEY CITY,NJ,Jersey City
36085001800,36085001800.0,NY,STATEN ISLAND,NY,New York
36085022800,36085022800.0,NY,STATEN ISLAND,NY,New York
36085022800,36085022800.0,NY,STATEN ISLAND,NY,New York
36005028400,36005028400.0,NY,BRONX,NY,New York
36005028400,36005028400.0,NY,BRONX,NY,New York
36005027600,36005027600.0,NY,BRONX,NY,New York
36005027600,36005027600.0,NY,BRONX,NY,New York
36005011000,36005011000.0,NY,BRONX,NY,New York
36005031900,36005031900.0,NY,BRONX,NY,New York
36047107000,36047107000.0,NY,BROOKLYN,NY,New York
36047107000,36047107000.0,NY,BROOKLYN,NY,New York
36047016400,36047016400.0,NY,BROOKLYN,NY,New York
36047016400,36047016400.0,NY,BROOKLYN,NY,New York
36047045000,36047045000.0,NY,BROOKLYN,NY,New York
36081038302,36081038302.0,NY,FLUSHING,NY,New York
36081038302,36081038302.0,NY,FLUSHING,NY,New York
36081038302,36081038302.0,NY,CORONA,NY,New York
36081038302,36081038302.0,NY,FOREST HILLS,NY,New York
36081138502,36081138502.0,NY,BAYSIDE,NY,New York
36081138502,36081138502.0,NY,LITTLE NECK,NY,New York
36081138502,36081138502.0,NY,OAKLAND GARDENS,NY,New York
36081140901,36081140901.0,NY,OAKLAND GARDENS,NY,New York
36081128300,36081128300.0,NY,OAKLAND GARDENS,NY,New York
36081128300,36081128300.0,NY,FRESH MEADOWS,NY,New York
36081056100,36081056100.0,NY,RIDGEWOOD,NY,New York
36081064102,36081064102.0,NY,RICHMOND HILL,NY,New York
36081064102,36081064102.0,NY,WOODHAVEN,NY,New York
36081042600,36081042600.0,NY,JAMAICA,NY,New York
36067000100,36067000100.0,NY,SYRACUSE,NY,Syracuse
36067000100,36067000100.0,NY,SYRACUSE,NY,Syracuse
42003310300,42003310300.0,PA,HOMESTEAD,PA,Pittsburgh
42003310300,42003310300.0,PA,PITTSBURGH,PA,Pittsburgh
42003020300,42003020300.0,PA,PITTSBURGH,PA,Pittsburgh
42003101600,42003101600.0,PA,PITTSBURGH,PA,Pittsburgh
42003101600,42003101600.0,PA,PITTSBURGH,PA,Pittsburgh
42003120800,42003120800.0,PA,PITTSBURGH,PA,Pittsburgh
42003120800,42003120800.0,PA,PITTSBURGH,PA,Pittsburgh
42003120700,42003120700.0,PA,PITTSBURGH,PA,Pittsburgh
42003120700,42003120700.0,PA,PITTSBURGH,PA,Pittsburgh
42003120400,42003120400.0,PA,PITTSBURGH,PA,Pittsburgh
42003981800,42003981800.0,PA,PITTSBURGH,PA,Pittsburgh
42003981800,42003981800.0,PA,PITTSBURGH,PA,Pittsburgh
42003561700,42003561700.0,PA,PITTSBURGH,PA,Pittsburgh
42003241200,42003241200.0,PA,PITTSBURGH,PA,Pittsburgh
42003250700,42003250700.0,PA,PITTSBURGH,PA,Pittsburgh
42003250700,42003250700.0,PA,PITTSBURGH,PA,Pittsburgh
42003980000,42003980000.0,PA,PITTSBURGH,PA,Pittsburgh
42003980000,42003980000.0,PA,PITTSBURGH,PA,Pittsburgh
42003141000,42003141000.0,PA,PITTSBURGH,PA,Pittsburgh
42003141000,42003141000.0,PA,PITTSBURGH,PA,Pittsburgh
42101008801,42101008801.0,PA,PHILADELPHIA,PA,Philadelphia
42101980000,42101980000.0,PA,PHILADELPHIA,PA,Philadelphia
42101980000,42101980000.0,PA,PHILADELPHIA,PA,Philadelphia
42101980000,42101980000.0,PA,PHILADELPHIA,PA,Philadelphia
42101980000,42101980000.0,PA,PHILADELPHIA,PA,Philadelphia
42101980000,42101980000.0,PA,PHILADELPHIA,PA,Philadelphia
42101980200,42101980200.0,PA,PHILADELPHIA,PA,Philadelphia
42101980200,42101980200.0,PA,PHILADELPHIA,PA,Philadelphia
42101980200,42101980200.0,PA,PHILADELPHIA,PA,Philadelphia
42101980200,42101980200.0,PA,PHILADELPHIA,PA,Philadelphia
42101036400,42101036400.0,PA,PHILADELPHIA,PA,Philadelphia
42101036400,42101036400.0,PA,PHILADELPHIA,PA,Philadelphia
42101980100,42101980100.0,PA,PHILADELPHIA,PA,Philadelphia
