Site_EPA_ID,City,County_FIPS,County,State,StateAbbr,Longitude,Latitude
ALN000410750,Birmingham,1073,Jefferson,Alabama,AL,-86.799671,33.557464
AL7210020742,Huntsville,1089,Madison,Alabama,AL,-86.673055,34.646944
AL0001058056,Montgomery,1101,Montgomery,Alabama,AL,-86.306,32.382
ALD007454085,Montgomery,1101,Montgomery,Alabama,AL,-86.3791,32.3761
AK6214522157,Anchorage,2020,Anchorage Municipality,Alaska,AK,-149.7,61.258333
AZ7570028582,Chandler,4013,Maricopa,Arizona,AZ,-111.6519,33.30695
AZD009004177,Phoenix,4013,Maricopa,Arizona,AZ,-111.9708,33.461669
AZD980695969,Scottsdale,4013,Maricopa,Arizona,AZ,-111.9083,33.466669
AZD980737530,Tucson,4019,Pima,Arizona,AZ,-110.9333,32.105561
AZ0971590062,Yuma,4027,Yuma,Arizona,AZ,-114.5888,32.654581
CA0001576081,Oakland,6001,Alameda,California,CA,-122.29375,37.8025
CA2890012584,Livermore,6001,Alameda,California,CA,-121.7047,37.688061
CA2890090002,Livermore,6001,Alameda,California,CA,-121.576667,37.644306
CA7170024528,Concord,6013,Contra Costa,California,CA,-122.0,38.049444
CAD981436363,Richmond,6013,Contra Costa,California,CA,-122.3654,37.9226
CAD980636914,Fresno,6019,Fresno,California,CA,-119.8261,36.704169
CAD980736284,Fresno,6019,Fresno,California,CA,-119.8094,36.8425
CA9800013030,Pasadena,6037,Los Angeles,California,CA,-118.167434,34.201185
CAD029544731,Los Angeles,6037,Los Angeles,California,CA,-118.289472,33.846639
CAD042245001,Whittier,6037,Los Angeles,California,CA,-118.042222,33.969722
CAD980677355,El Monte,6037,Los Angeles,California,CA,-118.0,34.125
CAD980894893,Los Angeles,6037,Los Angeles,California,CA,-118.3514,34.19
CAD980894976,Los Angeles,6037,Los Angeles,California,CA,-118.2539,34.112081
CAD980498455,Salinas,6053,Monterey,California,CA,-121.6186,36.8026
CAD980498695,Fullerton,6059,Orange,California,CA,-117.9712,33.8953
CA4570024527,Riverside,6065,Riverside,California,CA,-117.2557,33.906389
CAD098229214,Riverside,6065,Riverside,California,CA,-117.367186,33.991886
CA0210020780,Sacramento,6067,Sacramento,California,CA,-121.3958,38.520281
CA4570024337,Sacramento,6067,Sacramento,California,CA,-121.3994,38.66
CA8570024143,Sacramento,6067,Sacramento,California,CA,-121.2972,38.55695
CA2570024453,Victorville,6071,San Bernandino,California,CA,-117.3833,34.595
CA4570024345,San Bernardino,6071,San Bernandino,California,CA,-117.2372,34.098061
CAD981434517,San Bernardino,6071,San Bernandino,California,CA,-117.3131,34.171811
CAN000905945,Rialto,6071,San Bernandino,California,CA,-117.416567,34.153683
CA1170090087,San Francisco,6075,San Francisco,California,CA,-122.36732,37.72229
CAD009106527,Stockton,6077,San Joaquin,California,CA,-121.306635,37.947851
CA2170090078,Sunnyvale,6085,Santa Clara,California,CA,-122.0522,37.411389
CAD001864081,Sunnyvale,6085,Santa Clara,California,CA,-122.0225,37.3787
CAD009103318,Mountain View,6085,Santa Clara,California,CA,-122.0882,37.3988
CAD009111444,Mountain View,6085,Santa Clara,California,CA,-122.0797,37.4108
CAD009138488,Mountain View,6085,Santa Clara,California,CA,-122.0786,37.40805
CAD009159088,Sunnyvale,6085,Santa Clara,California,CA,-122.0085,37.3846
CAD009205097,Mountain View,6085,Santa Clara,California,CA,-122.0533,37.3975
CAD009212838,Mountain View,6085,Santa Clara,California,CA,-122.0872,37.4165
CAD029295706,San Jose,6085,Santa Clara,California,CA,-121.8644,37.318611
CAD048634059,Sunnyvale,6085,Santa Clara,California,CA,-122.0086,37.3825
CAD049236201,Sunnyvale,6085,Santa Clara,California,CA,-121.9968,37.3816
CAD061620217,Mountain View,6085,Santa Clara,California,CA,-122.0566,37.3962
CAD095989778,Mountain View,6085,Santa Clara,California,CA,-122.0542,37.4012
CAT080034234,Sunnyvale,6085,Santa Clara,California,CA,-122.0066,37.3868
CAD980498612,Redding,6089,Shasta,California,CA,-122.5278,40.671669
CAD063020143,Turlock,6099,Stanislaus,California,CA,-120.8239,37.4727
CAD981997752,Modesto,6099,Stanislaus,California,CA,-120.9964,37.6591
CAD009688052,Oxnard,6111,Ventura,California,CA,-119.181944,34.138889
COD000110254,Denver,8001,Adams,Colorado,CO,-104.9989,39.8148
CO0002259588,Denver,8031,Denver,Colorado,CO,-104.958333,39.791667
COD007431620,Denver,8031,Denver,Colorado,CO,-104.9136,39.780831
COD980716955,Denver,8031,Denver,Colorado,CO,-105.0,39.716669
CON000802700,Pueblo,8101,Pueblo,Colorado,CO,-104.608,38.2491
FLD980709356,Gainesville,12001,Alachua,Florida,FL,-82.323061,29.675
FLD000602334,Palm Bay,12009,Brevard,Florida,FL,-80.601389,28.030281
FLD004119681,Fort Lauderdale,12011,Broward,Florida,FL,-80.152219,26.198331
FLD981021470,Fort Lauderdale,12011,Broward,Florida,FL,-80.1847,26.1444
FLD984184127,Fort Lauderdale,12011,Broward,Florida,FL,-80.215556,26.081944
FL5170022474,Jacksonville,12031,Duval,Florida,FL,-81.902777,30.23861
FL6170024412,Jacksonville,12031,Duval,Florida,FL,-81.682777,30.22111
FLD000623041,Jacksonville,12031,Duval,Florida,FL,-81.686394,30.354092
FLD039049101,Jacksonville,12031,Duval,Florida,FL,-81.6265,30.3442
FLD980556351,Jacksonville,12031,Duval,Florida,FL,-81.738889,30.368611
FL0001209840,Tampa,12057,Hillsborough,Florida,FL,-82.510278,28.040556
