 ZIP Code,Year,AnnualChange (%),HPI,HPI with 1990 base,HPI with 2000 base,tract,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio
2121,2017,.,351.58,.,298.13,25025980300,DORCHESTER,MA,0,0.004192872,0,0.000149712
2124,2017,10.25,793.09,325.64,227.62,25025980300,DORCHESTER CENTER,MA,0,0.000953289,0,4.06E-05
2126,2017,8,700.95,269.44,212.36,25025981100,MATTAPAN,MA,0.022266992,0.015652174,0.008053691,0.020093946
2127,2017,8.66,759.6,451.67,253.91,25025981202,SOUTH BOSTON,MA,0.000524797,0.109335576,0.006294106,0.006787774
2128,2017,13.9,425.21,329.31,270.04,25025981300,EAST BOSTON,MA,0.016982511,0.15903976,0.009596553,0.023243333
2130,2017,9.74,863.89,395.9,226.5,25025981100,JAMAICA PLAIN,MA,5.03E-05,0.003336113,0.000258665,0.000240346
2130,2017,9.74,863.89,395.9,226.5,25025980300,JAMAICA PLAIN,MA,0.000251269,0.003336113,0,0.000360519
2130,2017,9.74,863.89,395.9,226.5,25025981800,JAMAICA PLAIN,MA,0.000100508,0.000834028,0,0.000120173
2131,2017,9.32,778.47,330.65,216.99,25025981100,ROSLINDALE,MA,0.002260434,0.00456621,0,0.00210198
2152,2017,10.13,550.39,254.46,181.2,25025980101,WINTHROP,MA,0.000475003,0.001988072,0,0.000515889
7047,2017,3.72,449.21,201.09,188.08,34017006900,NORTH BERGEN,NJ,0,0.000557103,0,3.49E-05
7306,2017,10.54,549.2,326.2,286.43,34017006900,JERSEY CITY,NJ,0.001577353,0.017312448,0.00450755,0.0032306
7307,2017,20.57,530.84,342.13,304.76,34017006900,JERSEY CITY,NJ,0,0.005060729,0.000235294,0.000264457
10305,2017,13.38,898.63,292.08,225.88,36085001800,STATEN ISLAND,NY,0.034072137,0.020348837,0.062877872,0.034661622
10312,2017,10.48,1019.22,275.37,210.99,36085022800,STATEN ISLAND,NY,0.001359975,0.058741259,0.065,0.004043329
