stateabbr,placename,placefips,tractfips,place_tractid,population2010,insurance,highbloodpressure,cancer,asthma,heartdisease,annualcheckups,smokes,mentalhealthissues,latitude,longitude,countyfips,State,StateAbbr,County,CountyFIPS,Asthma,AFHeartDisease,COPD,Depression,HeartFailure,Hypertension,CoronaryArtery,Psychotic,Stroke,TotalCost,tract,hpi,Place_TractID,SiteId,PM2.5_Exceptional,PM2.5_ExceedCount,PM2.5_Max,Ozone_Exceptional,Ozone_ExceedCount,Ozone_Max,sfcount
AL,Birmingham,107000,1073003200,0107000-01073003200,931,26.8,57,6,14.4,11.1,78.2,29.6,22,33.50940185,-86.8859082,1073,Alabama ,AL,Jefferson ,1073,21757.522534,27331.927441,27268.357869,22037.223923,30255.834117,15218.437417,21404.634337,22090.977918,34328.945095,472312.20209350006,1073003200,147.35,0107000-01073003200,11,0,0,26.6,0,1,0.078,0
AL,Birmingham,107000,1073003300,0107000-01073003300,947,21.4,55.2,6.8,12.9,9.7,80.1,22.6,16.7,33.51712611,-86.89138197,1073,Alabama ,AL,Jefferson ,1073,21757.522534,27331.927441,27268.357869,22037.223923,30255.834117,15218.437417,21404.634337,22090.977918,34328.945095,472312.20209350006,1073003300,211.99,0107000-01073003300,11,0,0,26.6,0,1,0.078,0
AL,Birmingham,107000,1073010500,0107000-01073010500,114,23.9,60.5,7.1,13.6,11.1,80.7,26.5,18.6,33.43637868,-86.91289231,1073,Alabama ,AL,Jefferson ,1073,21757.522534,27331.927441,27268.357869,22037.223923,30255.834117,15218.437417,21404.634337,22090.977918,34328.945095,472312.20209350006,1073010500,167.48,0107000-01073010500,11,0,0,26.6,0,1,0.078,0
AL,Birmingham,107000,1073010701,0107000-01073010701,74,19.8,24.9,2.7,11.2,2.4,66.2,18.1,16.1,33.47388616,-86.81464878,1073,Alabama ,AL,Jefferson ,1073,21757.522534,27331.927441,27268.357869,22037.223923,30255.834117,15218.437417,21404.634337,22090.977918,34328.945095,472312.20209350006,1073010701,670.86,0107000-01073010701,11,0,0,26.6,0,1,0.078,0
AL,Birmingham,107000,1073010801,0107000-01073010801,168,7.3,33,7.4,8.9,4.5,73.7,8.5,8.8,33.51409785,-86.74669714,1073,Alabama ,AL,Jefferson ,1073,21757.522534,27331.927441,27268.357869,22037.223923,30255.834117,15218.437417,21404.634337,22090.977918,34328.945095,472312.20209350006,1073010801,607.68,0107000-01073010801,11,0,0,26.6,0,1,0.078,1
AL,Birmingham,107000,1073010802,0107000-01073010802,172,6.6,37.2,11.2,8.4,6.8,75.8,7.7,8.3,33.48854935,-86.78084302,1073,Alabama ,AL,Jefferson ,1073,21757.522534,27331.927441,27268.357869,22037.223923,30255.834117,15218.437417,21404.634337,22090.977918,34328.945095,472312.20209350006,1073010802,670.86,0107000-01073010802,11,0,0,26.6,0,1,0.078,0
AL,Birmingham,107000,1073010803,0107000-01073010803,514,12.5,31.7,5.7,9.9,4.2,70.4,15.1,12.2,33.52290939,-86.71026186,1073,Alabama ,AL,Jefferson ,1073,21757.522534,27331.927441,27268.357869,22037.223923,30255.834117,15218.437417,21404.634337,22090.977918,34328.945095,472312.20209350006,1073010803,607.68,0107000-01073010803,11,0,0,26.6,0,1,0.078,0
AL,Birmingham,107000,1073010805,0107000-01073010805,86,9.7,49.6,7.8,9.8,6.2,80.8,10.3,9,33.49527925,-86.6987185,1073,Alabama ,AL,Jefferson ,1073,21757.522534,27331.927441,27268.357869,22037.223923,30255.834117,15218.437417,21404.634337,22090.977918,34328.945095,472312.20209350006,1073010805,607.68,0107000-01073010805,11,0,0,26.6,0,1,0.078,0
AL,Birmingham,107000,1073011207,0107000-01073011207,815,19.2,39.3,4.6,12.7,4.8,74.6,21.6,16.8,33.67188487,-86.67725105,1073,Alabama ,AL,Jefferson ,1073,21757.522534,27331.927441,27268.357869,22037.223923,30255.834117,15218.437417,21404.634337,22090.977918,34328.945095,472312.20209350006,1073011207,210.11,0107000-01073011207,11,0,0,26.6,0,1,0.078,0
AL,Birmingham,107000,1073011803,0107000-01073011803,928,20.9,42.1,5.1,12.9,5.7,74.3,24,18.1,33.62525752,-86.69986104,1073,Alabama ,AL,Jefferson ,1073,21757.522534,27331.927441,27268.357869,22037.223923,30255.834117,15218.437417,21404.634337,22090.977918,34328.945095,472312.20209350006,1073011803,210.11,0107000-01073011803,11,0,0,26.6,0,1,0.078,0
AL,Birmingham,107000,1073012001,0107000-01073012001,304,16.2,54.8,11.1,11.1,11.1,79.5,16,12.9,33.59194861,-86.86438407,1073,Alabama ,AL,Jefferson ,1073,21757.522534,27331.927441,27268.357869,22037.223923,30255.834117,15218.437417,21404.634337,22090.977918,34328.945095,472312.20209350006,1073012001,211.99,0107000-01073012001,11,0,0,26.6,0,1,0.078,0
AL,Birmingham,107000,1073012302,0107000-01073012302,144,14.9,30.1,5.7,10.6,5,65.7,22,16.3,33.55428164,-87.05446914,1073,Alabama ,AL,Jefferson ,1073,21757.522534,27331.927441,27268.357869,22037.223923,30255.834117,15218.437417,21404.634337,22090.977918,34328.945095,472312.20209350006,1073012302,237.33,0107000-01073012302,11,0,0,26.6,0,1,0.078,0
AL,Birmingham,107000,1073012305,0107000-01073012305,403,15.4,47.5,5.8,11.9,5.5,79.7,17.2,13.1,33.46953581,-86.96831739,1073,Alabama ,AL,Jefferson ,1073,21757.522534,27331.927441,27268.357869,22037.223923,30255.834117,15218.437417,21404.634337,22090.977918,34328.945095,472312.20209350006,1073012305,237.33,0107000-01073012305,11,0,0,26.6,0,1,0.078,0
AL,Birmingham,107000,1073012402,0107000-01073012402,418,18.3,43,6.8,11.4,7.2,74.5,20.8,15.6,33.54998417,-86.89945433,1073,Alabama ,AL,Jefferson ,1073,21757.522534,27331.927441,27268.357869,22037.223923,30255.834117,15218.437417,21404.634337,22090.977918,34328.945095,472312.20209350006,1073012402,211.99,0107000-01073012402,11,0,0,26.6,0,1,0.078,0
AL,Birmingham,107000,1073012500,0107000-01073012500,410,22.4,54.4,6.9,12.9,9.9,78.4,24.6,17.3,33.52916049,-86.93464764,1073,Alabama ,AL,Jefferson ,1073,21757.522534,27331.927441,27268.357869,22037.223923,30255.834117,15218.437417,21404.634337,22090.977918,34328.945095,472312.20209350006,1073012500,149.41,0107000-01073012500,11,0,0,26.6,0,1,0.078,0
AL,Birmingham,107000,1073012602,0107000-01073012602,371,19.9,48.6,7.6,11.3,9.8,74.8,21.7,15.9,33.57016467,-86.66643058,1073,Alabama ,AL,Jefferson ,1073,21757.522534,27331.927441,27268.357869,22037.223923,30255.834117,15218.437417,21404.634337,22090.977918,34328.945095,472312.20209350006,1073012602,243.57,0107000-01073012602,11,0,0,26.6,0,1,0.078,0
AL,Birmingham,107000,1073012703,0107000-01073012703,498,12.6,20.6,3.4,9.4,2.2,64.6,13,12.1,33.46811809,-86.66718882,1073,Alabama ,AL,Jefferson ,1073,21757.522534,27331.927441,27268.357869,22037.223923,30255.834117,15218.437417,21404.634337,22090.977918,34328.945095,472312.20209350006,1073012703,415.49,0107000-01073012703,11,0,0,26.6,0,1,0.078,0
AL,Birmingham,107000,1073012704,0107000-01073012704,113,10.6,31.2,6.5,9.3,5.2,68,15.8,12.7,33.50341959,-86.61809834,1073,Alabama ,AL,Jefferson ,1073,21757.522534,27331.927441,27268.357869,22037.223923,30255.834117,15218.437417,21404.634337,22090.977918,34328.945095,472312.20209350006,1073012704,246.83,0107000-01073012704,11,0,0,26.6,0,1,0.078,0
AL,Birmingham,107000,1073013901,0107000-01073013901,952,19.9,50.4,6.8,12.5,7.8,79.2,19.9,14.8,33.47293849,-86.95473376,1073,Alabama ,AL,Jefferson ,1073,21757.522534,27331.927441,27268.357869,22037.223923,30255.834117,15218.437417,21404.634337,22090.977918,34328.945095,472312.20209350006,1073013901,237.33,0107000-01073013901,11,0,0,26.6,0,1,0.078,0
AL,Birmingham,107000,1073014413,0107000-01073014413,397,9.9,23.5,5.1,8.3,3.1,66.4,10.9,10,33.42265931,-86.85086208,1073,Alabama ,AL,Jefferson ,1073,21757.522534,27331.927441,27268.357869,22037.223923,30255.834117,15218.437417,21404.634337,22090.977918,34328.945095,472312.20209350006,1073014413,370.76,0107000-01073014413,11,0,0,26.6,0,1,0.078,0
AL,Birmingham,107000,1117030213,0107000-01117030213,644,11.1,29.3,5,9.3,3.8,70.4,13.1,12,33.43959752,-86.67359594,1117,Alabama ,AL,Shelby ,1117,20142.96371,24396.688013,24967.366754,20049.308852,27598.770969,14185.835955,17868.764979,26293.132506,32793.998852,435321.6214605,1117030213,246.83,0107000-01117030213,11,0,0,26.6,0,1,0.078,0
AL,Birmingham,107000,1117030303,0107000-01117030303,968,12.3,22.2,2.8,9.6,1.8,68,13.6,12.3,33.42586612,-86.71381936,1117,Alabama ,AL,Shelby ,1117,20142.96371,24396.688013,24967.366754,20049.308852,27598.770969,14185.835955,17868.764979,26293.132506,32793.998852,435321.6214605,1117030303,415.49,0107000-01117030303,11,0,0,26.6,0,1,0.078,0
AL,Hoover,135896,1073012906,0135896-01073012906,788,15.9,23.5,2.9,10.1,2,68.3,13.3,12.3,33.40451614,-86.78765023,1073,Alabama ,AL,Jefferson ,1073,21757.522534,27331.927441,27268.357869,22037.223923,30255.834117,15218.437417,21404.634337,22090.977918,34328.945095,472312.20209350006,1073012906,475.29,0135896-01073012906,11,0,0,26.6,0,1,0.078,0
AL,Hoover,135896,1073012910,0135896-01073012910,218,6.9,32.1,7.1,9.1,4.6,71.3,11,10.5,33.41869377,-86.72213184,1073,Alabama ,AL,Jefferson ,1073,21757.522534,27331.927441,27268.357869,22037.223923,30255.834117,15218.437417,21404.634337,22090.977918,34328.945095,472312.20209350006,1073012910,415.49,0135896-01073012910,11,0,0,26.6,0,1,0.078,0
AL,Hoover,135896,1073014203,0135896-01073014203,242,11.8,30.9,5.9,9.9,4.9,67.8,17.7,14,33.31280463,-86.90050201,1073,Alabama ,AL,Jefferson ,1073,21757.522534,27331.927441,27268.357869,22037.223923,30255.834117,15218.437417,21404.634337,22090.977918,34328.945095,472312.20209350006,1073014203,247.24,0135896-01073014203,11,0,0,26.6,0,1,0.078,0
AL,Hoover,135896,1117030212,0135896-01117030212,97,18.1,23.3,2.1,9.2,1.8,65.6,16.4,13.9,33.4231254,-86.69639183,1117,Alabama ,AL,Shelby ,1117,20142.96371,24396.688013,24967.366754,20049.308852,27598.770969,14185.835955,17868.764979,26293.132506,32793.998852,435321.6214605,1117030212,246.83,0135896-01117030212,11,0,0,26.6,0,1,0.078,0
AL,Hoover,135896,1117030305,0135896-01117030305,684,7.9,37.1,7.8,9,5.5,74.9,11.9,10.5,33.35063232,-86.77406775,1117,Alabama ,AL,Shelby ,1117,20142.96371,24396.688013,24967.366754,20049.308852,27598.770969,14185.835955,17868.764979,26293.132506,32793.998852,435321.6214605,1117030305,247.24,0135896-01117030305,11,0,0,26.6,0,1,0.078,0
AL,Hoover,135896,1117030330,0135896-01117030330,342,9.2,45.8,12,8.6,8.9,79.3,10.7,9.3,33.41398238,-86.68875661,1117,Alabama ,AL,Shelby ,1117,20142.96371,24396.688013,24967.366754,20049.308852,27598.770969,14185.835955,17868.764979,26293.132506,32793.998852,435321.6214605,1117030330,246.83,0135896-01117030330,11,0,0,26.6,0,1,0.078,0
AL,Hoover,135896,1117030344,0135896-01117030344,209,9.6,40.8,9.1,9.1,6.9,75.3,13.9,11.2,33.40999055,-86.6692094,1117,Alabama ,AL,Shelby ,1117,20142.96371,24396.688013,24967.366754,20049.308852,27598.770969,14185.835955,17868.764979,26293.132506,32793.998852,435321.6214605,1117030344,246.83,0135896-01117030344,11,0,0,26.6,0,1,0.078,0
AL,Huntsville,137000,1083020802,0137000-01083020802,699,14.8,28.3,3.8,10.7,2.8,67.7,18.5,14.2,34.77870377,-86.795488,1083,Alabama ,AL,Limestone ,1083,20151.819559,24468.882717,23465.973218,19662.616825,25908.200047,13671.530295,18854.92752,22723.274591,29955.291841,394503.7136105001,1083020802,192.22,0137000-01083020802,25,0,0,18.5,0,0,0.07,0
