Submission_ID,Facility_Name,Facility_City,Facility_State,Facility_County,Facility_Zip_Code,Facility_Latitude,Facility_Longitude,FRS_ID,AFS_NUMBER,Location_ID,Location_Name,Is_Location_Controlled,Duct_Diameter,Permit_Source_Name,Permit_Source_ID,Air_Permit_Number,SCC,NAICS,Process_Description,TEST_RUN_VALUE,AVERAGE_VALUE,Calculated_Average,Test_Run_Number,Pollutant_Name,CAS_Number,NEI_Pollutant_Code,POLLUTANT_UNIT,Measure,Material,Action,Detection_Limit_Flag,Test_Report_Rating,Test_Run_Date,Test_Method_Notes,Test_Method,Testing_Company,Testing_Project_Number,ERT_Version,Test_Report_Reference,Control_1,Control_2,Control_3,Control_4,Control_5,PROCESS_PARAMETER,PROCESS_PARAMETER_RATE,PROCESS_PARAMETER_VALUE,Regulation_Description,Regulatory_Limit,Stack_Temperature_F,Stack_Flow_Rate_acfm,Method_Mass_A,Method_Mass_B,Mass_Units,FILTER_TEMPERATURE_1_F,Filter_Temperature_2_F,Emissions_Value_LB_MMBtu_CO2,Emissions_Value_LB_MMBtu_O2
"80254195","AK Steel, Inc.","Middletown","OH","US","45043","","","110000392557",""," ","P023","0","60.0","No. 5 Pickler","P023","14-09-01-0006","30300910","112563"," ","0.00E+00","N/A","0","PL5-2","Hydrogen Chloride","7647-01-0","7647-01-0","","","","","","7","2016-11-23T00:00:00"," ","Method 26A","Environmental Quality Management, inc.","050074.0150","V5","Facility: AK Steel, Inc. - Middletown, OH - Testing Company:  Environmental Quality Management, inc. - 9/2/2016","SCRUBBER","","","","","","","","40 CFR 63 Subpart CCC","18.000000 ppm","122.50","26,613.3","128.6"," ","mg","291.75","","0.00E+00","0.00E+00"
"80254195","AK Steel, Inc.","Middletown","OH","US","45043","","","110000392557",""," ","P023","0","60.0","No. 5 Pickler","P023","14-09-01-0006","30300910","112563"," ","0.00E+00","N/A","0","PL5-3","Hydrogen Chloride","7647-01-0","7647-01-0","","","","","","7","2016-11-23T00:00:00"," ","Method 26A","Environmental Quality Management, inc.","050074.0150","V5","Facility: AK Steel, Inc. - Middletown, OH - Testing Company:  Environmental Quality Management, inc. - 9/2/2016","SCRUBBER","","","","","","","","40 CFR 63 Subpart CCC","18.000000 ppm","123.42","26,236.3","170.1"," ","mg","284.125","","0.00E+00","0.00E+00"
"80254195","AK Steel, Inc.","Middletown","OH","US","45043","","","110000392557",""," ","P023","0","60.0","No. 5 Pickler","P023","14-09-01-0006","30300910","112563"," ","0.00E+00","N/A","0","PL5-4","Hydrogen Chloride","7647-01-0","7647-01-0","","","","","","7","2016-11-23T00:00:00"," ","Method 26A","Environmental Quality Management, inc.","050074.0150","V5","Facility: AK Steel, Inc. - Middletown, OH - Testing Company:  Environmental Quality Management, inc. - 9/2/2016","SCRUBBER","","","","","","","","40 CFR 63 Subpart CCC","18.000000 ppm","121.04","25,788.6","149.3"," ","mg","281.833333333333","","0.00E+00","0.00E+00"
"80256784","Agrium CPO","Soda Springs","ID","Caribou Co","83276","","","110000468351",""," ","Granulation Plant Stack","1","72.0","Granulation Plant","","Tl-060308","30103002",""," ","1.91E-02","N/A","0","2","Total Fluoride","Total Fluoride","Total Fluoride","Lb","Tons","P2O5","Produced","","80","2016-03-24T00:00:00"," ","Method 13B","TETCO","","V5","Facility: Agrium CPO - Soda Springs, ID - Testing Company:  TETCO - 3/21/2016","Dryer Venturi Scrubber","Dryer Venturi Scrubber","","","","P2O5 Produced","Tons/hr","43.28"," Phosphoric Acid Manufacturing Plants and Phosphate Fertilizers Production Plants","0.058000 lb / Tons of P2O5 Fed","152.08","110,285.6","4.71"," ","mg","","","0.00E+00","0.00E+00"
"80256784","Agrium CPO","Soda Springs","ID","Caribou Co","83276","","","110000468351",""," ","Granulation Plant Stack","1","72.0","Granulation Plant","","Tl-060308","30103002",""," ","2.12E-02","N/A","0","3","Total Fluoride","Total Fluoride","Total Fluoride","Lb","Tons","P2O5","Produced","","80","2016-03-24T00:00:00"," ","Method 13B","TETCO","","V5","Facility: Agrium CPO - Soda Springs, ID - Testing Company:  TETCO - 3/21/2016","Dryer Venturi Scrubber","Dryer Venturi Scrubber","","","","P2O5 Produced","Tons/hr","43.14"," Phosphoric Acid Manufacturing Plants and Phosphate Fertilizers Production Plants","0.058000 lb / Tons of P2O5 Fed","152.17","111,286.5","5.21"," ","mg","","","0.00E+00","0.00E+00"
"80256784","Agrium CPO","Soda Springs","ID","Caribou Co","83276","","","110000468351",""," ","Granulation Plant Stack","1","72.0","Granulation Plant","","Tl-060308","30103002",""," ","1.73E-02","N/A","0","1","Total Fluoride","Total Fluoride","Total Fluoride","Lb","Tons","P2O5","Produced","","80","2016-03-24T00:00:00"," ","Method 13B","TETCO","","V5","Facility: Agrium CPO - Soda Springs, ID - Testing Company:  TETCO - 3/21/2016","Dryer Venturi Scrubber","Dryer Venturi Scrubber","","","","P2O5 Produced","Tons/hr","43.41"," Phosphoric Acid Manufacturing Plants and Phosphate Fertilizers Production Plants","0.058000 lb / Tons of P2O5 Fed","151.08","107,520.4","4.07"," ","mg","","","0.00E+00","0.00E+00"
"80257513","AK Steel, Inc.","Middletown","OH","US","45043","","","110000392557",""," ","P023","0","60.0","No. 5 Pickler","P023","14-09-01-0006","30300910","112563"," ","0.00E+00","N/A","0","PL5-2","Hydrogen Chloride","7647-01-0","7647-01-0","","","","","","10","2017-01-05T00:00:00"," ","Method 26A","Environmental Quality Management, inc.","050074.0174","V5","Facility: AK Steel, Inc. - Middletown, OH - Testing Company:  Environmental Quality Management, inc. - 12/22/2016","SCRUBBER","SCRUBBER","","","","","","","40 CFR 63 Subpart CCC","18.000000 ppm","135.83","24,622.3","98.0"," ","mg","280.458333333333","","0.00E+00","0.00E+00"
"80257513","AK Steel, Inc.","Middletown","OH","US","45043","","","110000392557",""," ","P023","0","60.0","No. 5 Pickler","P023","14-09-01-0006","30300910","112563"," ","0.00E+00","N/A","0","PL5-3","Hydrogen Chloride","7647-01-0","7647-01-0","","","","","","10","2017-01-05T00:00:00"," ","Method 26A","Environmental Quality Management, inc.","050074.0174","V5","Facility: AK Steel, Inc. - Middletown, OH - Testing Company:  Environmental Quality Management, inc. - 12/22/2016","SCRUBBER","SCRUBBER","","","","","","","40 CFR 63 Subpart CCC","18.000000 ppm","134.38","24,445.6","93.0"," ","mg","278.125","","0.00E+00","0.00E+00"
"80257513","AK Steel, Inc.","Middletown","OH","US","45043","","","110000392557",""," ","P023","0","60.0","No. 5 Pickler","P023","14-09-01-0006","30300910","112563"," ","0.00E+00","N/A","0","PL5-4","Hydrogen Chloride","7647-01-0","7647-01-0","","","","","","10","2017-01-05T00:00:00"," ","Method 26A","Environmental Quality Management, inc.","050074.0174","V5","Facility: AK Steel, Inc. - Middletown, OH - Testing Company:  Environmental Quality Management, inc. - 12/22/2016","SCRUBBER","SCRUBBER","","","","","","","40 CFR 63 Subpart CCC","18.000000 ppm","129.58","24,327.8","110.0"," ","mg","276.541666666667","","0.00E+00","0.00E+00"
"80257513","AK Steel, Inc.","Middletown","OH","US","45043","","","110000392557",""," ","P023","0","60.0","No. 5 Pickler","P023","14-09-01-0006","30300910","112563"," ","0.00E+00","N/A","0","PL5-5","Hydrogen Chloride","7647-01-0","7647-01-0","","","","","","10","2017-01-05T00:00:00"," ","Method 26A","Environmental Quality Management, inc.","050074.0174","V5","Facility: AK Steel, Inc. - Middletown, OH - Testing Company:  Environmental Quality Management, inc. - 12/22/2016","SCRUBBER","SCRUBBER","","","","","","","40 CFR 63 Subpart CCC","18.000000 ppm","125.46","23,691.6","90.0"," ","mg","279.291666666667","","0.00E+00","0.00E+00"
"80257513","AK Steel, Inc.","Middletown","OH","US","45043","","","110000392557",""," ","P023","0","60.0","No. 5 Pickler","P023","14-09-01-0006","30300910","112563"," ","0.00E+00","N/A","0","PL5-6","Hydrogen Chloride","7647-01-0","7647-01-0","","","","","","10","2017-01-05T00:00:00"," ","Method 26A","Environmental Quality Management, inc.","050074.0174","V5","Facility: AK Steel, Inc. - Middletown, OH - Testing Company:  Environmental Quality Management, inc. - 12/22/2016","SCRUBBER","SCRUBBER","","","","","","","40 CFR 63 Subpart CCC","18.000000 ppm","128.67","24,033.2","96.0"," ","mg","278.708333333333","","0.00E+00","0.00E+00"
"80257513","AK Steel, Inc.","Middletown","OH","US","45043","","","110000392557",""," ","P023","0","60.0","No. 5 Pickler","P023","14-09-01-0006","30300910","112563"," ","0.00E+00","N/A","0","PL5-1","Hydrogen Chloride","7647-01-0","7647-01-0","","","","","","10","2017-01-05T00:00:00"," ","Method 26A","Environmental Quality Management, inc.","050074.0174","V5","Facility: AK Steel, Inc. - Middletown, OH - Testing Company:  Environmental Quality Management, inc. - 12/22/2016","SCRUBBER","SCRUBBER","","","","","","","40 CFR 63 Subpart CCC","18.000000 ppm","137.00","25,128.9","81.0"," ","mg","278.583333333333","","0.00E+00","0.00E+00"
